user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2047,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,115188
2051,Coop,0,116,8,20,-12,-5,2047,Coop,0,116,8,20,-12,-5,115189
2047,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,115190
2051,Coop,0,132,8,20,-12,-5,2047,Coop,0,132,8,20,-12,-5,115191
2047,Coop,0,140,8,20,-12,-5,2051,Coop,0,140,8,20,-12,-5,115192
2051,Coop,0,148,8,20,-12,-5,2047,Coop,0,148,8,20,-12,-5,115193
2047,Coop,0,156,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,115194
2051,Coop,0,164,8,20,-12,-5,2047,Coop,0,164,8,20,-12,-5,115195
2047,Coop,0,172,8,20,-12,-5,2051,Coop,0,172,8,20,-12,-5,115196
2051,Coop,0,180,8,20,-12,-5,2047,Coop,0,180,8,20,-12,-5,115197
2047,Coop,0,188,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,115198
2051,Coop,0,196,8,20,-12,-5,2047,Coop,0,196,8,20,-12,-5,115199
2047,Coop,0,204,8,20,-12,-5,2051,Coop,0,204,8,20,-12,-5,115200
2051,Coop,0,212,8,20,-12,-5,2047,Coop,0,212,8,20,-12,-5,115201
2047,Coop,0,220,8,20,-12,-5,2051,Coop,0,220,8,20,-12,-5,115202
2051,Coop,0,228,8,20,-12,-5,2047,Coop,0,228,8,20,-12,-5,115203
2047,Coop,0,236,8,20,-12,-5,2051,Coop,0,236,8,20,-12,-5,115204
2051,Coop,0,244,8,20,-12,-5,2047,Coop,0,244,8,20,-12,-5,115205
2047,Coop,0,252,8,20,-12,-5,2051,Coop,0,252,8,20,-12,-5,115206
2051,Coop,0,260,8,20,-12,-5,2047,Coop,0,260,8,20,-12,-5,115207
2047,Coop,0,268,8,20,-12,-5,2051,Coop,0,268,8,20,-12,-5,115208
2051,Coop,0,276,8,20,-12,-5,2047,Coop,0,276,8,20,-12,-5,115209
2047,Coop,0,284,8,20,-12,-5,2051,Coop,0,284,8,20,-12,-5,115210
2051,Coop,0,292,8,20,-12,-5,2047,Coop,0,292,8,20,-12,-5,115211
2047,Coop,0,300,8,20,-12,-5,2051,Coop,0,300,8,20,-12,-5,115212
2051,Coop,0,308,8,20,-12,-5,2047,Coop,0,308,8,20,-12,-5,115213
2047,Coop,0,316,8,20,-12,-5,2051,Coop,0,316,8,20,-12,-5,115214
2051,Coop,0,324,8,20,-12,-5,2047,Coop,0,324,8,20,-12,-5,115215
2047,Coop,0,332,8,20,-12,-5,2051,Coop,0,332,8,20,-12,-5,115216
2051,Coop,0,340,8,20,-12,-5,2047,Coop,0,340,8,20,-12,-5,115217
2047,Coop,0,348,8,20,-12,-5,2051,Coop,0,348,8,20,-12,-5,115218
