user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,84124
2045,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,84125
2039,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,84126
2045,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,84127
2039,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,84128
2045,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,84129
2039,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,84130
2045,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,84131
2039,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,84132
2045,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,84133
2039,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,84134
2045,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,84135
2039,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,84136
2045,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,84137
2039,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,84138
2045,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,84139
2039,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,84140
2045,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,84141
2039,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,84142
2045,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,84143
2039,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,84144
2045,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,84145
2039,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,84146
2045,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,84147
2039,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,84148
2045,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,84149
2039,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,84150
2045,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,84151
2039,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,84152
2045,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,84153
2039,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,84154
2045,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,84155
2039,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,84156
2045,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,84157
2039,Coop,0,380,8,20,-12,-5,2045,Coop,0,380,8,20,-12,-5,84158
2045,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,84159
2039,Coop,0,396,8,20,-12,-5,2045,Coop,0,396,8,20,-12,-5,84160
2045,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,84161
2039,Coop,0,412,8,20,-12,-5,2045,Coop,0,412,8,20,-12,-5,84162
2045,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,84163
2039,Coop,0,428,8,20,-12,-5,2045,Coop,0,428,8,20,-12,-5,84164
2045,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,84165
2039,Coop,0,444,8,20,-12,-5,2045,Coop,0,444,8,20,-12,-5,84166
2045,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,84167
2039,Coop,0,460,8,20,-12,-5,2045,Coop,0,460,8,20,-12,-5,84168
2045,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,84169
2039,Coop,0,476,8,20,-12,-5,2045,Coop,0,476,8,20,-12,-5,84170
2045,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,84171
2039,Coop,0,492,8,20,-12,-5,2045,Coop,0,492,8,20,-12,-5,84172
2045,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,84173
2039,Coop,0,508,8,20,-12,-5,2045,Coop,0,508,8,20,-12,-5,84174
2045,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,84175
2039,Coop,0,524,8,20,-12,-5,2045,Coop,0,524,8,20,-12,-5,84176
2045,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,84177
2039,Coop,0,540,8,20,-12,-5,2045,Coop,0,540,8,20,-12,-5,84178
2045,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,84179
2039,Coop,0,556,8,20,-12,-5,2045,Coop,0,556,8,20,-12,-5,84180
2045,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,84181
2039,Coop,0,572,8,20,-12,-5,2045,Coop,0,572,8,20,-12,-5,84182
2045,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,84183
2039,Coop,0,588,8,20,-12,-5,2045,Coop,0,588,8,20,-12,-5,84184
2045,Coop,0,596,8,20,-12,-5,2039,Coop,0,596,8,20,-12,-5,84185
2039,Coop,0,604,8,20,-12,-5,2045,Coop,0,604,8,20,-12,-5,84186
2045,Buy,0,604,8,20,-12,-5,2045,Buy,0,104,9,21,-11,-4,84187
2045,Coop,0,113,9,21,-11,-4,2039,Coop,0,612,8,20,-12,-5,84188
