user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2046,Deflect,0,120,8,20,-12,-5,83110
2046,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,83111
2039,Coop,0,116,8,20,-12,-5,2046,Coop,0,116,8,20,-12,-5,83112
2046,Coop,0,124,8,20,-12,-5,2039,Coop,0,124,8,20,-12,-5,83113
2039,Coop,0,132,8,20,-12,-5,2046,Coop,0,132,8,20,-12,-5,83114
2046,Coop,0,140,8,20,-12,-5,2039,Coop,0,140,8,20,-12,-5,83115
2039,Coop,0,148,8,20,-12,-5,2046,Coop,0,148,8,20,-12,-5,83116
2046,Coop,0,156,8,20,-12,-5,2039,Coop,0,156,8,20,-12,-5,83117
2039,Coop,0,164,8,20,-12,-5,2046,Coop,0,164,8,20,-12,-5,83118
2046,Coop,0,172,8,20,-12,-5,2039,Coop,0,172,8,20,-12,-5,83119
2039,Coop,0,180,8,20,-12,-5,2046,Coop,0,180,8,20,-12,-5,83120
2046,Coop,0,188,8,20,-12,-5,2039,Coop,0,188,8,20,-12,-5,83121
2039,Coop,0,196,8,20,-12,-5,2046,Coop,0,196,8,20,-12,-5,83122
2046,Coop,0,204,8,20,-12,-5,2039,Coop,0,204,8,20,-12,-5,83123
2039,Coop,0,212,8,20,-12,-5,2046,Coop,0,212,8,20,-12,-5,83124
2046,Coop,0,220,8,20,-12,-5,2039,Coop,0,220,8,20,-12,-5,83125
2039,Coop,0,228,8,20,-12,-5,2046,Coop,0,228,8,20,-12,-5,83126
2046,Coop,0,236,8,20,-12,-5,2039,Coop,0,236,8,20,-12,-5,83127
2039,Coop,0,244,8,20,-12,-5,2046,Coop,0,244,8,20,-12,-5,83128
2046,Coop,0,252,8,20,-12,-5,2039,Coop,0,252,8,20,-12,-5,83129
2039,Coop,0,260,8,20,-12,-5,2046,Coop,0,260,8,20,-12,-5,83130
2046,Coop,0,268,8,20,-12,-5,2039,Coop,0,268,8,20,-12,-5,83131
2039,Coop,0,276,8,20,-12,-5,2046,Coop,0,276,8,20,-12,-5,83132
2046,Coop,0,284,8,20,-12,-5,2039,Coop,0,284,8,20,-12,-5,83133
2039,Coop,0,292,8,20,-12,-5,2046,Coop,0,292,8,20,-12,-5,83134
2046,Coop,0,300,8,20,-12,-5,2039,Coop,0,300,8,20,-12,-5,83135
2039,Coop,0,308,8,20,-12,-5,2046,Coop,0,308,8,20,-12,-5,83136
2046,Coop,0,316,8,20,-12,-5,2039,Coop,0,316,8,20,-12,-5,83137
2039,Coop,0,324,8,20,-12,-5,2046,Coop,0,324,8,20,-12,-5,83138
2046,Coop,0,332,8,20,-12,-5,2039,Coop,0,332,8,20,-12,-5,83139
2039,Coop,0,340,8,20,-12,-5,2046,Coop,0,340,8,20,-12,-5,83140
2046,Coop,0,348,8,20,-12,-5,2039,Coop,0,348,8,20,-12,-5,83141
2039,Coop,0,356,8,20,-12,-5,2046,Coop,0,356,8,20,-12,-5,83142
2046,Coop,0,364,8,20,-12,-5,2039,Coop,0,364,8,20,-12,-5,83143
2039,Coop,0,372,8,20,-12,-5,2046,Coop,0,372,8,20,-12,-5,83144
2046,Coop,0,380,8,20,-12,-5,2039,Coop,0,380,8,20,-12,-5,83145
2039,Coop,0,388,8,20,-12,-5,2046,Coop,0,388,8,20,-12,-5,83146
2046,Coop,0,396,8,20,-12,-5,2039,Coop,0,396,8,20,-12,-5,83147
2039,Coop,0,404,8,20,-12,-5,2046,Coop,0,404,8,20,-12,-5,83148
2046,Coop,0,412,8,20,-12,-5,2039,Coop,0,412,8,20,-12,-5,83149
2039,Coop,0,420,8,20,-12,-5,2046,Coop,0,420,8,20,-12,-5,83150
2046,Coop,0,428,8,20,-12,-5,2039,Coop,0,428,8,20,-12,-5,83151
2039,Coop,0,436,8,20,-12,-5,2046,Coop,0,436,8,20,-12,-5,83152
2046,Coop,0,444,8,20,-12,-5,2039,Coop,0,444,8,20,-12,-5,83153
2039,Coop,0,452,8,20,-12,-5,2046,Coop,0,452,8,20,-12,-5,83154
2046,Coop,0,460,8,20,-12,-5,2039,Coop,0,460,8,20,-12,-5,83155
2039,Coop,0,468,8,20,-12,-5,2046,Coop,0,468,8,20,-12,-5,83156
2046,Coop,0,476,8,20,-12,-5,2039,Coop,0,476,8,20,-12,-5,83157
2039,Coop,0,484,8,20,-12,-5,2046,Coop,0,484,8,20,-12,-5,83158
2046,Coop,0,492,8,20,-12,-5,2039,Coop,0,492,8,20,-12,-5,83159
2039,Coop,0,500,8,20,-12,-5,2046,Coop,0,500,8,20,-12,-5,83160
2046,Coop,0,508,8,20,-12,-5,2039,Coop,0,508,8,20,-12,-5,83161
2039,Coop,0,516,8,20,-12,-5,2046,Coop,0,516,8,20,-12,-5,83162
2046,Coop,0,524,8,20,-12,-5,2039,Coop,0,524,8,20,-12,-5,83163
2039,Coop,0,532,8,20,-12,-5,2046,Coop,0,532,8,20,-12,-5,83164
2046,Coop,0,540,8,20,-12,-5,2039,Coop,0,540,8,20,-12,-5,83165
2039,Coop,0,548,8,20,-12,-5,2046,Coop,0,548,8,20,-12,-5,83166
2046,Coop,0,556,8,20,-12,-5,2039,Coop,0,556,8,20,-12,-5,83167
2039,Coop,0,564,8,20,-12,-5,2046,Coop,0,564,8,20,-12,-5,83168
2046,Coop,0,572,8,20,-12,-5,2039,Coop,0,572,8,20,-12,-5,83169
2039,Coop,0,580,8,20,-12,-5,2046,Coop,0,580,8,20,-12,-5,83170
2046,Coop,0,588,8,20,-12,-5,2039,Coop,0,588,8,20,-12,-5,83171
2039,Coop,0,596,8,20,-12,-5,2046,Coop,0,596,8,20,-12,-5,83172
2046,Coop,0,604,8,20,-12,-5,2039,Coop,0,604,8,20,-12,-5,83173
2046,Buy,0,604,8,20,-12,-5,2046,Buy,0,104,9,21,-11,-4,83174
2039,Coop,0,612,8,20,-12,-5,2046,Coop,0,113,9,21,-11,-4,83175
2046,Coop,0,122,9,21,-11,-4,2039,Coop,0,620,8,20,-12,-5,83176
2039,Coop,0,628,8,20,-12,-5,2046,Coop,0,131,9,21,-11,-4,83177
2046,Coop,0,140,9,21,-11,-4,2039,Coop,0,636,8,20,-12,-5,83178
2039,Coop,0,644,8,20,-12,-5,2046,Coop,0,149,9,21,-11,-4,83179
2046,Coop,0,158,9,21,-11,-4,2039,Coop,0,652,8,20,-12,-5,83180
2039,Coop,0,660,8,20,-12,-5,2046,Coop,0,167,9,21,-11,-4,83181
2046,Coop,0,176,9,21,-11,-4,2039,Coop,0,668,8,20,-12,-5,83182
2039,Coop,0,676,8,20,-12,-5,2046,Coop,0,185,9,21,-11,-4,83183
2046,Coop,0,194,9,21,-11,-4,2039,Coop,0,684,8,20,-12,-5,83184
2039,Coop,0,692,8,20,-12,-5,2046,Coop,0,203,9,21,-11,-4,83185
2046,Coop,0,212,9,21,-11,-4,2039,Coop,0,700,8,20,-12,-5,83186
2039,Coop,0,708,8,20,-12,-5,2046,Coop,0,221,9,21,-11,-4,83187
2046,Coop,0,230,9,21,-11,-4,2039,Coop,0,716,8,20,-12,-5,83188
2039,Coop,0,724,8,20,-12,-5,2046,Coop,0,239,9,21,-11,-4,83189
2046,Coop,0,248,9,21,-11,-4,2039,Coop,0,732,8,20,-12,-5,83190
2039,Coop,0,740,8,20,-12,-5,2046,Coop,0,257,9,21,-11,-4,83191
2046,Coop,0,266,9,21,-11,-4,2039,Coop,0,748,8,20,-12,-5,83192
2039,Coop,0,756,8,20,-12,-5,2046,Coop,0,275,9,21,-11,-4,83193
2046,Coop,0,284,9,21,-11,-4,2039,Coop,0,764,8,20,-12,-5,83194
2039,Coop,0,772,8,20,-12,-5,2046,Coop,0,293,9,21,-11,-4,83195
2046,Coop,0,302,9,21,-11,-4,2039,Coop,0,780,8,20,-12,-5,83196
2039,Coop,0,788,8,20,-12,-5,2046,Coop,0,311,9,21,-11,-4,83197
2046,Coop,0,320,9,21,-11,-4,2039,Coop,0,796,8,20,-12,-5,83198
2039,Coop,0,804,8,20,-12,-5,2046,Coop,0,329,9,21,-11,-4,83199
2046,Coop,0,338,9,21,-11,-4,2039,Coop,0,812,8,20,-12,-5,83200
2039,Coop,0,820,8,20,-12,-5,2046,Coop,0,347,9,21,-11,-4,83201
2046,Coop,0,356,9,21,-11,-4,2039,Coop,0,828,8,20,-12,-5,83202
2039,Coop,0,836,8,20,-12,-5,2046,Coop,0,365,9,21,-11,-4,83203
2046,Coop,0,374,9,21,-11,-4,2039,Coop,0,844,8,20,-12,-5,83204
2039,Coop,0,852,8,20,-12,-5,2046,Coop,0,383,9,21,-11,-4,83205
2046,Coop,0,392,9,21,-11,-4,2039,Coop,0,860,8,20,-12,-5,83206
2039,Coop,0,868,8,20,-12,-5,2046,Coop,0,401,9,21,-11,-4,83207
2046,Coop,0,410,9,21,-11,-4,2039,Coop,0,876,8,20,-12,-5,83208
2039,Coop,0,884,8,20,-12,-5,2046,Coop,0,419,9,21,-11,-4,83209
2046,Coop,0,428,9,21,-11,-4,2039,Coop,0,892,8,20,-12,-5,83210
2039,Coop,0,900,8,20,-12,-5,2046,Coop,0,437,9,21,-11,-4,83211
2046,Coop,0,446,9,21,-11,-4,2039,Coop,0,908,8,20,-12,-5,83212
2039,Coop,0,916,8,20,-12,-5,2046,Coop,0,455,9,21,-11,-4,83213
2046,Coop,0,464,9,21,-11,-4,2039,Coop,0,924,8,20,-12,-5,83214
2039,Coop,0,932,8,20,-12,-5,2046,Coop,0,473,9,21,-11,-4,83215
2046,Coop,0,482,9,21,-11,-4,2039,Coop,0,940,8,20,-12,-5,83216
2039,Coop,0,948,8,20,-12,-5,2046,Coop,0,491,9,21,-11,-4,83217
2046,Coop,0,500,9,21,-11,-4,2039,Coop,0,956,8,20,-12,-5,83218
2039,Coop,0,964,8,20,-12,-5,2046,Coop,0,509,9,21,-11,-4,83219
2046,Coop,0,518,9,21,-11,-4,2039,Coop,0,972,8,20,-12,-5,83220
2039,Coop,0,980,8,20,-12,-5,2046,Coop,0,527,9,21,-11,-4,83221
2046,Coop,0,536,9,21,-11,-4,2039,Coop,0,988,8,20,-12,-5,83222
2039,Coop,0,996,8,20,-12,-5,2046,Coop,0,545,9,21,-11,-4,83223
2046,Coop,0,554,9,21,-11,-4,2039,Coop,0,1004,8,20,-12,-5,83224
2039,Coop,0,1012,8,20,-12,-5,2046,Coop,0,563,9,21,-11,-4,83225
2046,Coop,0,572,9,21,-11,-4,2039,Coop,0,1020,8,20,-12,-5,83226
2039,Coop,0,1028,8,20,-12,-5,2046,Coop,0,581,9,21,-11,-4,83227
2046,Coop,0,590,9,21,-11,-4,2039,Coop,0,1036,8,20,-12,-5,83228
2039,Coop,0,1044,8,20,-12,-5,2046,Coop,0,599,9,21,-11,-4,83229
2046,Coop,0,608,9,21,-11,-4,2039,Coop,0,1052,8,20,-12,-5,83230
2046,Buy,0,608,9,21,-11,-4,2046,Buy,0,108,10,22,-10,-3,83231
2039,Coop,0,1060,8,20,-12,-5,2046,Coop,0,118,10,22,-10,-3,83232
2046,Coop,0,128,10,22,-10,-3,2039,Coop,0,1068,8,20,-12,-5,83233
2039,Coop,0,1076,8,20,-12,-5,2046,Coop,0,138,10,22,-10,-3,83234
2046,Coop,0,148,10,22,-10,-3,2039,Coop,0,1084,8,20,-12,-5,83235
2039,Coop,0,1092,8,20,-12,-5,2046,Coop,0,158,10,22,-10,-3,83236
2046,Coop,0,168,10,22,-10,-3,2039,Coop,0,1100,8,20,-12,-5,83237
2039,Coop,0,1108,8,20,-12,-5,2046,Coop,0,178,10,22,-10,-3,83238
