user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,106598
2045,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,106599
2043,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,106600
2045,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,106601
2043,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,106602
2045,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,106603
2043,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,106604
2045,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,106605
2043,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,106606
2045,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,106607
2043,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,106608
2045,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,106609
2043,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,106610
2045,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,106611
2043,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,106612
2045,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,106613
2043,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,106614
2045,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,106615
2043,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,106616
2045,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,106617
2043,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,106618
2045,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,106619
2043,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,106620
2045,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,106621
