user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,20390
2047,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,20391
2043,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,20392
2047,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,20393
2043,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,20394
2047,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,20395
2043,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,20396
2047,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,20397
2043,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,20398
2047,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,20399
2043,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,20400
2047,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,20401
2043,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,20402
2047,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,20403
2043,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,20404
2047,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,20405
2043,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,20406
2047,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,20407
2043,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,20408
2047,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,20409
2043,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,20410
2047,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,20411
2043,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,20412
2047,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,20413
2043,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,20414
2047,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,20415
2043,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,20416
2047,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,20417
2043,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,20418
2047,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,20419
2043,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,20420
2047,Coop,0,356,8,20,-12,-5,2043,Coop,0,356,8,20,-12,-5,20421
2043,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,20422
2047,Coop,0,372,8,20,-12,-5,2043,Coop,0,372,8,20,-12,-5,20423
2043,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,20424
2047,Coop,0,388,8,20,-12,-5,2043,Coop,0,388,8,20,-12,-5,20425
2043,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,20426
2047,Coop,0,404,8,20,-12,-5,2043,Coop,0,404,8,20,-12,-5,20427
2043,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,20428
2047,Coop,0,420,8,20,-12,-5,2043,Coop,0,420,8,20,-12,-5,20429
2043,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,20430
2047,Coop,0,436,8,20,-12,-5,2043,Coop,0,436,8,20,-12,-5,20431
2043,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,20432
2047,Coop,0,452,8,20,-12,-5,2043,Coop,0,452,8,20,-12,-5,20433
2043,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,20434
2047,Coop,0,468,8,20,-12,-5,2043,Coop,0,468,8,20,-12,-5,20435
2043,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,20436
2047,Coop,0,484,8,20,-12,-5,2043,Coop,0,484,8,20,-12,-5,20437
2043,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,20438
2047,Coop,0,500,8,20,-12,-5,2043,Coop,0,500,8,20,-12,-5,20439
2043,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,20440
2047,Coop,0,516,8,20,-12,-5,2043,Coop,0,516,8,20,-12,-5,20441
2043,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,20442
2047,Coop,0,532,8,20,-12,-5,2043,Coop,0,532,8,20,-12,-5,20443
2043,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,20444
2047,Coop,0,548,8,20,-12,-5,2043,Coop,0,548,8,20,-12,-5,20445
2043,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,20446
2047,Coop,0,564,8,20,-12,-5,2043,Coop,0,564,8,20,-12,-5,20447
2043,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,20448
2047,Coop,0,580,8,20,-12,-5,2043,Coop,0,580,8,20,-12,-5,20449
2043,Coop,0,588,8,20,-12,-5,2047,Coop,0,588,8,20,-12,-5,20450
2047,Coop,0,596,8,20,-12,-5,2043,Coop,0,596,8,20,-12,-5,20451
2043,Buy,0,604,8,20,-12,-5,2043,Buy,0,104,9,21,-11,-4,20452
2043,Coop,0,604,8,20,-12,-5,2047,Coop,0,604,8,20,-12,-5,20453
2047,Buy,0,612,8,20,-12,-5,2047,Buy,0,112,9,21,-11,-4,20454
2047,Coop,0,612,8,20,-12,-5,2043,Coop,0,113,9,21,-11,-4,20455
2043,Coop,0,122,9,21,-11,-4,2047,Coop,0,121,9,21,-11,-4,20456
2047,Coop,0,130,9,21,-11,-4,2043,Coop,0,131,9,21,-11,-4,20457
2043,Coop,0,140,9,21,-11,-4,2047,Coop,0,139,9,21,-11,-4,20458
2047,Coop,0,148,9,21,-11,-4,2043,Coop,0,149,9,21,-11,-4,20459
2043,Coop,0,158,9,21,-11,-4,2047,Coop,0,157,9,21,-11,-4,20460
2047,Coop,0,166,9,21,-11,-4,2043,Coop,0,167,9,21,-11,-4,20461
2043,Coop,0,176,9,21,-11,-4,2047,Coop,0,175,9,21,-11,-4,20462
2047,Coop,0,184,9,21,-11,-4,2043,Coop,0,185,9,21,-11,-4,20463
2043,Coop,0,194,9,21,-11,-4,2047,Coop,0,193,9,21,-11,-4,20464
2047,Coop,0,202,9,21,-11,-4,2043,Coop,0,203,9,21,-11,-4,20465
2043,Coop,0,212,9,21,-11,-4,2047,Coop,0,211,9,21,-11,-4,20466
2047,Coop,0,220,9,21,-11,-4,2043,Coop,0,221,9,21,-11,-4,20467
2043,Coop,0,230,9,21,-11,-4,2047,Coop,0,229,9,21,-11,-4,20468
2047,Coop,0,238,9,21,-11,-4,2043,Coop,0,239,9,21,-11,-4,20469
2043,Coop,0,248,9,21,-11,-4,2047,Coop,0,247,9,21,-11,-4,20470
2047,Coop,0,256,9,21,-11,-4,2043,Coop,0,257,9,21,-11,-4,20471
2043,Coop,0,266,9,21,-11,-4,2047,Coop,0,265,9,21,-11,-4,20472
2047,Coop,0,274,9,21,-11,-4,2043,Coop,0,275,9,21,-11,-4,20473
2043,Coop,0,284,9,21,-11,-4,2047,Coop,0,283,9,21,-11,-4,20474
2047,Coop,0,292,9,21,-11,-4,2043,Coop,0,293,9,21,-11,-4,20475
2043,Coop,0,302,9,21,-11,-4,2047,Coop,0,301,9,21,-11,-4,20476
2047,Coop,0,310,9,21,-11,-4,2043,Coop,0,311,9,21,-11,-4,20477
2043,Coop,0,320,9,21,-11,-4,2047,Coop,0,319,9,21,-11,-4,20478
2047,Coop,0,328,9,21,-11,-4,2043,Coop,0,329,9,21,-11,-4,20479
2043,Coop,0,338,9,21,-11,-4,2047,Coop,0,337,9,21,-11,-4,20480
2047,Coop,0,346,9,21,-11,-4,2043,Coop,0,347,9,21,-11,-4,20481
2043,Coop,0,356,9,21,-11,-4,2047,Coop,0,355,9,21,-11,-4,20482
2047,Coop,0,364,9,21,-11,-4,2043,Coop,0,365,9,21,-11,-4,20483
2043,Coop,0,374,9,21,-11,-4,2047,Coop,0,373,9,21,-11,-4,20484
2047,Coop,0,382,9,21,-11,-4,2043,Coop,0,383,9,21,-11,-4,20485
