user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,19369
2045,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,19370
2043,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,19371
2045,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,19372
2043,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,19373
2045,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,19374
2043,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,19375
2045,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,19376
2043,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,19377
2045,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,19378
2043,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,19379
2045,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,19380
2043,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,19381
2045,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,19382
2043,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,19383
2045,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,19384
2043,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,19385
2045,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,19386
2043,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,19387
2045,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,19388
2043,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,19389
2045,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,19390
2043,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,19391
2045,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,19392
2043,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,19393
2045,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,19394
2043,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,19395
2045,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,19396
2043,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,19397
2045,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,19398
2043,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,19399
