user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,148878
2047,Coop,0,116,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,148879
2045,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,148880
2047,Coop,0,132,8,20,-12,-5,2045,Coop,0,132,8,20,-12,-5,148881
2045,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,148882
2047,Coop,0,148,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,148883
2045,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,148884
2047,Coop,0,164,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,148885
2045,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,148886
2047,Coop,0,180,8,20,-12,-5,2045,Coop,0,180,8,20,-12,-5,148887
2045,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,148888
2047,Coop,0,196,8,20,-12,-5,2045,Coop,0,196,8,20,-12,-5,148889
2045,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,148890
2047,Coop,0,212,8,20,-12,-5,2045,Coop,0,212,8,20,-12,-5,148891
2045,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,148892
2047,Coop,0,228,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,148893
2045,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,148894
2047,Coop,0,244,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,148895
2045,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,148896
2047,Coop,0,260,8,20,-12,-5,2045,Coop,0,260,8,20,-12,-5,148897
2045,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,148898
2047,Coop,0,276,8,20,-12,-5,2045,Coop,0,276,8,20,-12,-5,148899
2045,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,148900
2047,Coop,0,292,8,20,-12,-5,2045,Coop,0,292,8,20,-12,-5,148901
2045,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,148902
2047,Coop,0,308,8,20,-12,-5,2045,Coop,0,308,8,20,-12,-5,148903
2045,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,148904
2047,Coop,0,324,8,20,-12,-5,2045,Coop,0,324,8,20,-12,-5,148905
2045,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,148906
2047,Coop,0,340,8,20,-12,-5,2045,Coop,0,340,8,20,-12,-5,148907
2045,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,148908
2047,Coop,0,356,8,20,-12,-5,2045,Coop,0,356,8,20,-12,-5,148909
2045,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,148910
2047,Coop,0,372,8,20,-12,-5,2045,Coop,0,372,8,20,-12,-5,148911
2045,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,148912
2047,Coop,0,388,8,20,-12,-5,2045,Coop,0,388,8,20,-12,-5,148913
2045,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,148914
2047,Coop,0,404,8,20,-12,-5,2045,Coop,0,404,8,20,-12,-5,148915
