user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,134974
2045,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,134975
2039,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,134976
2045,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,134977
2039,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,134978
2045,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,134979
2039,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,134980
2045,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,134981
2039,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,134982
2045,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,134983
2039,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,134984
2045,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,134985
2039,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,134986
2045,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,134987
2039,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,134988
2045,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,134989
2039,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,134990
2045,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,134991
2039,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,134992
2045,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,134993
2039,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,134994
2045,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,134995
2039,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,134996
2045,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,134997
2039,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,134998
2045,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,134999
2039,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,135000
2045,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,135001
2039,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,135002
2045,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,135003
2039,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,135004
2045,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,135005
2039,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,135006
2045,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,135007
