user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,103544
2045,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,103545
2039,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,103546
2045,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,103547
2039,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,103548
2045,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,103549
2039,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,103550
2045,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,103551
2039,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,103552
2045,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,103553
2039,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,103554
2045,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,103555
2039,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,103556
2045,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,103557
2039,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,103558
2045,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,103559
2039,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,103560
2045,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,103561
2039,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,103562
2045,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,103563
2039,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,103564
2045,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,103565
2039,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,103566
2045,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,103567
2039,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,103568
2045,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,103569
2039,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,103570
2045,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,103571
2039,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,103572
2045,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,103573
2039,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,103574
2045,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,103575
2039,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,103576
2045,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,103577
2039,Coop,0,380,8,20,-12,-5,2045,Coop,0,380,8,20,-12,-5,103578
2045,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,103579
2039,Coop,0,396,8,20,-12,-5,2045,Coop,0,396,8,20,-12,-5,103580
2045,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,103581
