user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,82076
2043,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,82077
2039,Coop,0,124,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,82078
2043,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,82079
2039,Coop,0,140,8,20,-12,-5,2043,Coop,0,140,8,20,-12,-5,82080
2043,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,82081
2039,Coop,0,156,8,20,-12,-5,2043,Coop,0,156,8,20,-12,-5,82082
2043,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,82083
2039,Coop,0,172,8,20,-12,-5,2043,Coop,0,172,8,20,-12,-5,82084
2043,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,82085
2039,Coop,0,188,8,20,-12,-5,2043,Coop,0,188,8,20,-12,-5,82086
2043,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,82087
2039,Coop,0,204,8,20,-12,-5,2043,Coop,0,204,8,20,-12,-5,82088
2043,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,82089
2039,Coop,0,220,8,20,-12,-5,2043,Coop,0,220,8,20,-12,-5,82090
2043,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,82091
2039,Coop,0,236,8,20,-12,-5,2043,Coop,0,236,8,20,-12,-5,82092
2043,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,82093
2039,Coop,0,252,8,20,-12,-5,2043,Coop,0,252,8,20,-12,-5,82094
2043,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,82095
2039,Coop,0,268,8,20,-12,-5,2043,Coop,0,268,8,20,-12,-5,82096
2043,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,82097
2039,Coop,0,284,8,20,-12,-5,2043,Coop,0,284,8,20,-12,-5,82098
2043,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,82099
2039,Coop,0,300,8,20,-12,-5,2043,Coop,0,300,8,20,-12,-5,82100
2043,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,82101
2039,Coop,0,316,8,20,-12,-5,2043,Coop,0,316,8,20,-12,-5,82102
2043,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,82103
2039,Coop,0,332,8,20,-12,-5,2043,Coop,0,332,8,20,-12,-5,82104
2043,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,82105
2039,Coop,0,348,8,20,-12,-5,2043,Coop,0,348,8,20,-12,-5,82106
2043,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,82107
2039,Coop,0,364,8,20,-12,-5,2043,Coop,0,364,8,20,-12,-5,82108
2043,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,82109
2039,Coop,0,380,8,20,-12,-5,2043,Coop,0,380,8,20,-12,-5,82110
2043,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,82111
2039,Coop,0,396,8,20,-12,-5,2043,Coop,0,396,8,20,-12,-5,82112
2043,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,82113
2039,Coop,0,412,8,20,-12,-5,2043,Coop,0,412,8,20,-12,-5,82114
2043,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,82115
2039,Coop,0,428,8,20,-12,-5,2043,Coop,0,428,8,20,-12,-5,82116
2043,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,82117
2039,Coop,0,444,8,20,-12,-5,2043,Coop,0,444,8,20,-12,-5,82118
2043,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,82119
2039,Coop,0,460,8,20,-12,-5,2043,Coop,0,460,8,20,-12,-5,82120
2043,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,82121
2039,Coop,0,476,8,20,-12,-5,2043,Coop,0,476,8,20,-12,-5,82122
2043,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,82123
2039,Coop,0,492,8,20,-12,-5,2043,Coop,0,492,8,20,-12,-5,82124
2043,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,82125
2039,Coop,0,508,8,20,-12,-5,2043,Coop,0,508,8,20,-12,-5,82126
2043,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,82127
2039,Coop,0,524,8,20,-12,-5,2043,Coop,0,524,8,20,-12,-5,82128
2043,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,82129
2039,Coop,0,540,8,20,-12,-5,2043,Coop,0,540,8,20,-12,-5,82130
2043,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,82131
2039,Coop,0,556,8,20,-12,-5,2043,Coop,0,556,8,20,-12,-5,82132
2043,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,82133
2039,Coop,0,572,8,20,-12,-5,2043,Coop,0,572,8,20,-12,-5,82134
2043,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,82135
2039,Coop,0,588,8,20,-12,-5,2043,Coop,0,588,8,20,-12,-5,82136
2043,Coop,0,596,8,20,-12,-5,2039,Coop,0,596,8,20,-12,-5,82137
2039,Coop,0,604,8,20,-12,-5,2043,Coop,0,604,8,20,-12,-5,82138
2043,Buy,0,604,8,20,-12,-5,2043,Buy,0,104,9,21,-11,-4,82139
2043,Coop,0,113,9,21,-11,-4,2039,Coop,0,612,8,20,-12,-5,82140
2039,Coop,0,620,8,20,-12,-5,2043,Coop,0,122,9,21,-11,-4,82141
2043,Coop,0,131,9,21,-11,-4,2039,Coop,0,628,8,20,-12,-5,82142
2039,Coop,0,636,8,20,-12,-5,2043,Coop,0,140,9,21,-11,-4,82143
2043,Coop,0,149,9,21,-11,-4,2039,Coop,0,644,8,20,-12,-5,82144
2039,Coop,0,652,8,20,-12,-5,2043,Coop,0,158,9,21,-11,-4,82145
2043,Coop,0,167,9,21,-11,-4,2039,Coop,0,660,8,20,-12,-5,82146
2039,Coop,0,668,8,20,-12,-5,2043,Coop,0,176,9,21,-11,-4,82147
2043,Coop,0,185,9,21,-11,-4,2039,Coop,0,676,8,20,-12,-5,82148
2039,Coop,0,684,8,20,-12,-5,2043,Coop,0,194,9,21,-11,-4,82149
2043,Coop,0,203,9,21,-11,-4,2039,Coop,0,692,8,20,-12,-5,82150
2039,Coop,0,700,8,20,-12,-5,2043,Coop,0,212,9,21,-11,-4,82151
2043,Coop,0,221,9,21,-11,-4,2039,Coop,0,708,8,20,-12,-5,82152
2039,Coop,0,716,8,20,-12,-5,2043,Coop,0,230,9,21,-11,-4,82153
2043,Coop,0,239,9,21,-11,-4,2039,Coop,0,724,8,20,-12,-5,82154
2039,Coop,0,732,8,20,-12,-5,2043,Coop,0,248,9,21,-11,-4,82155
2043,Coop,0,257,9,21,-11,-4,2039,Coop,0,740,8,20,-12,-5,82156
2039,Coop,0,748,8,20,-12,-5,2043,Coop,0,266,9,21,-11,-4,82157
2043,Coop,0,275,9,21,-11,-4,2039,Coop,0,756,8,20,-12,-5,82158
2039,Coop,0,764,8,20,-12,-5,2043,Coop,0,284,9,21,-11,-4,82159
2043,Coop,0,293,9,21,-11,-4,2039,Coop,0,772,8,20,-12,-5,82160
2039,Coop,0,780,8,20,-12,-5,2043,Coop,0,302,9,21,-11,-4,82161
2043,Coop,0,311,9,21,-11,-4,2039,Coop,0,788,8,20,-12,-5,82162
2039,Coop,0,796,8,20,-12,-5,2043,Coop,0,320,9,21,-11,-4,82163
2043,Coop,0,329,9,21,-11,-4,2039,Coop,0,804,8,20,-12,-5,82164
2039,Coop,0,812,8,20,-12,-5,2043,Coop,0,338,9,21,-11,-4,82165
2043,Coop,0,347,9,21,-11,-4,2039,Coop,0,820,8,20,-12,-5,82166
2039,Coop,0,828,8,20,-12,-5,2043,Coop,0,356,9,21,-11,-4,82167
