user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,85165
2048,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,85166
2039,Coop,0,116,8,20,-12,-5,2048,Coop,0,116,8,20,-12,-5,85167
2048,Coop,0,124,8,20,-12,-5,2039,Coop,0,124,8,20,-12,-5,85168
2039,Coop,0,132,8,20,-12,-5,2048,Coop,0,132,8,20,-12,-5,85169
2048,Coop,0,140,8,20,-12,-5,2039,Coop,0,140,8,20,-12,-5,85170
2039,Coop,0,148,8,20,-12,-5,2048,Coop,0,148,8,20,-12,-5,85171
2048,Coop,0,156,8,20,-12,-5,2039,Coop,0,156,8,20,-12,-5,85172
2039,Coop,0,164,8,20,-12,-5,2048,Coop,0,164,8,20,-12,-5,85173
2048,Coop,0,172,8,20,-12,-5,2039,Coop,0,172,8,20,-12,-5,85174
2039,Coop,0,180,8,20,-12,-5,2048,Coop,0,180,8,20,-12,-5,85175
2048,Coop,0,188,8,20,-12,-5,2039,Coop,0,188,8,20,-12,-5,85176
2039,Coop,0,196,8,20,-12,-5,2048,Coop,0,196,8,20,-12,-5,85177
2048,Coop,0,204,8,20,-12,-5,2039,Coop,0,204,8,20,-12,-5,85178
2039,Coop,0,212,8,20,-12,-5,2048,Coop,0,212,8,20,-12,-5,85179
2048,Coop,0,220,8,20,-12,-5,2039,Coop,0,220,8,20,-12,-5,85180
2039,Coop,0,228,8,20,-12,-5,2048,Coop,0,228,8,20,-12,-5,85181
2048,Coop,0,236,8,20,-12,-5,2039,Coop,0,236,8,20,-12,-5,85182
2039,Coop,0,244,8,20,-12,-5,2048,Coop,0,244,8,20,-12,-5,85183
2048,Coop,0,252,8,20,-12,-5,2039,Coop,0,252,8,20,-12,-5,85184
2039,Coop,0,260,8,20,-12,-5,2048,Coop,0,260,8,20,-12,-5,85185
2048,Coop,0,268,8,20,-12,-5,2039,Coop,0,268,8,20,-12,-5,85186
2039,Coop,0,276,8,20,-12,-5,2048,Coop,0,276,8,20,-12,-5,85187
2048,Coop,0,284,8,20,-12,-5,2039,Coop,0,284,8,20,-12,-5,85188
2039,Coop,0,292,8,20,-12,-5,2048,Coop,0,292,8,20,-12,-5,85189
2048,Coop,0,300,8,20,-12,-5,2039,Coop,0,300,8,20,-12,-5,85190
2039,Coop,0,308,8,20,-12,-5,2048,Coop,0,308,8,20,-12,-5,85191
2048,Coop,0,316,8,20,-12,-5,2039,Coop,0,316,8,20,-12,-5,85192
2039,Coop,0,324,8,20,-12,-5,2048,Coop,0,324,8,20,-12,-5,85193
2048,Coop,0,332,8,20,-12,-5,2039,Coop,0,332,8,20,-12,-5,85194
2039,Coop,0,340,8,20,-12,-5,2048,Coop,0,340,8,20,-12,-5,85195
2048,Coop,0,348,8,20,-12,-5,2039,Coop,0,348,8,20,-12,-5,85196
2039,Coop,0,356,8,20,-12,-5,2048,Coop,0,356,8,20,-12,-5,85197
2048,Coop,0,364,8,20,-12,-5,2039,Coop,0,364,8,20,-12,-5,85198
2039,Coop,0,372,8,20,-12,-5,2048,Coop,0,372,8,20,-12,-5,85199
2048,Coop,0,380,8,20,-12,-5,2039,Coop,0,380,8,20,-12,-5,85200
2039,Coop,0,388,8,20,-12,-5,2048,Coop,0,388,8,20,-12,-5,85201
2048,Coop,0,396,8,20,-12,-5,2039,Coop,0,396,8,20,-12,-5,85202
2039,Coop,0,404,8,20,-12,-5,2048,Coop,0,404,8,20,-12,-5,85203
2048,Coop,0,412,8,20,-12,-5,2039,Coop,0,412,8,20,-12,-5,85204
2039,Coop,0,420,8,20,-12,-5,2048,Coop,0,420,8,20,-12,-5,85205
2048,Coop,0,428,8,20,-12,-5,2039,Coop,0,428,8,20,-12,-5,85206
2039,Coop,0,436,8,20,-12,-5,2048,Coop,0,436,8,20,-12,-5,85207
2048,Coop,0,444,8,20,-12,-5,2039,Coop,0,444,8,20,-12,-5,85208
2039,Coop,0,452,8,20,-12,-5,2048,Coop,0,452,8,20,-12,-5,85209
2048,Coop,0,460,8,20,-12,-5,2039,Coop,0,460,8,20,-12,-5,85210
2039,Coop,0,468,8,20,-12,-5,2048,Coop,0,468,8,20,-12,-5,85211
2048,Coop,0,476,8,20,-12,-5,2039,Coop,0,476,8,20,-12,-5,85212
2039,Coop,0,484,8,20,-12,-5,2048,Coop,0,484,8,20,-12,-5,85213
2048,Coop,0,492,8,20,-12,-5,2039,Coop,0,492,8,20,-12,-5,85214
2039,Coop,0,500,8,20,-12,-5,2048,Coop,0,500,8,20,-12,-5,85215
2048,Coop,0,508,8,20,-12,-5,2039,Coop,0,508,8,20,-12,-5,85216
2039,Coop,0,516,8,20,-12,-5,2048,Coop,0,516,8,20,-12,-5,85217
2048,Coop,0,524,8,20,-12,-5,2039,Coop,0,524,8,20,-12,-5,85218
2039,Coop,0,532,8,20,-12,-5,2048,Coop,0,532,8,20,-12,-5,85219
2048,Coop,0,540,8,20,-12,-5,2039,Coop,0,540,8,20,-12,-5,85220
2039,Coop,0,548,8,20,-12,-5,2048,Coop,0,548,8,20,-12,-5,85221
2048,Coop,0,556,8,20,-12,-5,2039,Coop,0,556,8,20,-12,-5,85222
2039,Coop,0,564,8,20,-12,-5,2048,Coop,0,564,8,20,-12,-5,85223
2048,Coop,0,572,8,20,-12,-5,2039,Coop,0,572,8,20,-12,-5,85224
2039,Coop,0,580,8,20,-12,-5,2048,Coop,0,580,8,20,-12,-5,85225
2048,Coop,0,588,8,20,-12,-5,2039,Coop,0,588,8,20,-12,-5,85226
2039,Coop,0,596,8,20,-12,-5,2048,Coop,0,596,8,20,-12,-5,85227
2048,Coop,0,604,8,20,-12,-5,2039,Coop,0,604,8,20,-12,-5,85228
2048,Buy,0,604,8,20,-12,-5,2048,Buy,0,104,9,21,-11,-4,85229
2039,Coop,0,612,8,20,-12,-5,2048,Coop,0,113,9,21,-11,-4,85230
2048,Coop,0,122,9,21,-11,-4,2039,Coop,0,620,8,20,-12,-5,85231
2039,Coop,0,628,8,20,-12,-5,2048,Coop,0,131,9,21,-11,-4,85232
2048,Coop,0,140,9,21,-11,-4,2039,Coop,0,636,8,20,-12,-5,85233
2039,Coop,0,644,8,20,-12,-5,2048,Coop,0,149,9,21,-11,-4,85234
2048,Coop,0,158,9,21,-11,-4,2039,Coop,0,652,8,20,-12,-5,85235
2039,Coop,0,660,8,20,-12,-5,2048,Coop,0,167,9,21,-11,-4,85236
2048,Coop,0,176,9,21,-11,-4,2039,Coop,0,668,8,20,-12,-5,85237
2039,Coop,0,676,8,20,-12,-5,2048,Coop,0,185,9,21,-11,-4,85238
2048,Coop,0,194,9,21,-11,-4,2039,Coop,0,684,8,20,-12,-5,85239
2039,Coop,0,692,8,20,-12,-5,2048,Coop,0,203,9,21,-11,-4,85240
2048,Coop,0,212,9,21,-11,-4,2039,Coop,0,700,8,20,-12,-5,85241
2039,Coop,0,708,8,20,-12,-5,2048,Coop,0,221,9,21,-11,-4,85242
2048,Coop,0,230,9,21,-11,-4,2039,Coop,0,716,8,20,-12,-5,85243
2039,Coop,0,724,8,20,-12,-5,2048,Coop,0,239,9,21,-11,-4,85244
